"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21030-55140","QB","Brad","Brad Kaaya","Kaaya","0","0","6000","NO@CAR","CAR","NO","","","",""
"21030-33647","QB","Kyle","Kyle Sloter","Sloter","0","0","6000","TB@MIN","MIN","TB","","","",""
"21030-26483","QB","Geno","Geno Smith","Smith","4.46999979019165","2","6000","NYG@PHI","NYG","PHI","","","",""
"21030-39795","QB","Davis","Davis Webb","Webb","0","0","6000","NYG@PHI","NYG","PHI","","","",""
"21030-29587","QB","Cody","Cody Kessler","Kessler","8.777777777777779","9","6000","CLE@IND","CLE","IND","","","",""
"21030-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","TB@MIN","TB","MIN","IR","Shoulder","",""
"21030-30640","QB","Connor","Connor Shaw","Shaw","0","0","6000","PIT@CHI","CHI","PIT","","","",""
"21030-14320","RB","Bilal","Bilal Powell","Powell","3.8499999046325684","2","6000","MIA@NYJ","NYJ","MIA","","","",""
"21030-29866","RB","Paul","Paul Perkins","Perkins","3.3499999046325684","2","5900","NYG@PHI","NYG","PHI","","","",""
"21030-11501","WR","Eric","Eric Decker","Decker","3.5999999046325684","2","5900","SEA@TEN","TEN","SEA","","","",""
"21030-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","9.949999809265137","2","5900","ATL@DET","DET","ATL","","","",""
"21030-54244","WR","Kenny","Kenny Golladay","Golladay","11.100000381469727","2","5900","ATL@DET","DET","ATL","","","",""
"21030-27050","WR","Tyler","Tyler Lockett","Lockett","5.349999904632568","2","5800","SEA@TEN","SEA","TEN","","","",""
"21030-6627","WR","Ted","Ted Ginn Jr.","Ginn Jr.","5.849999904632568","2","5800","NO@CAR","NO","CAR","","","",""
"21030-22219","WR","Jermaine","Jermaine Kearse","Kearse","14.899999618530273","2","5800","MIA@NYJ","NYJ","MIA","","","",""
"21030-14211","RB","Mark","Mark Ingram","Ingram","9.600000381469727","2","5800","NO@CAR","NO","CAR","","","",""
"21030-24755","WR","Jamison","Jamison Crowder","Crowder","3.799999952316284","2","5700","OAK@WAS","WAS","OAK","","","",""
"21030-25837","RB","Duke","Duke Johnson Jr.","Johnson Jr.","6.25","2","5700","CLE@IND","CLE","IND","","","",""
"21030-21971","TE","Coby","Coby Fleener","Fleener","12.350000381469727","2","5700","NO@CAR","NO","CAR","","","",""
"21030-79974","RB","Tarik","Tarik Cohen","Cohen","15.050000190734863","2","5600","PIT@CHI","CHI","PIT","","","",""
"21030-52451","RB","Samaje","Samaje Perine","Perine","7.199999809265137","1","5600","OAK@WAS","WAS","OAK","","","",""
"21030-28930","RB","James","James White","White","10.949999809265137","2","5600","HOU@NE","NE","HOU","","","",""
"21030-6448","TE","Martellus","Martellus Bennett","Bennett","6.5","2","5600","CIN@GB","GB","CIN","","","",""
"21030-24891","RB","Chris","Chris Thompson","Thompson","18.850000381469727","2","5600","OAK@WAS","WAS","OAK","","","",""
"21030-21957","WR","Kendall","Kendall Wright","Wright","7.650000095367432","2","5600","PIT@CHI","CHI","PIT","Q","Shoulder","",""
"21030-22004","TE","Dwayne","Dwayne Allen","Allen","0","2","5600","HOU@NE","NE","HOU","","","",""
"21030-33465","RB","Theo","Theo Riddick","Riddick","8.399999618530273","2","5600","ATL@DET","DET","ATL","","","",""
"21030-33766","RB","Rob","Rob Kelley","Kelley","5.400000095367432","2","5600","OAK@WAS","WAS","OAK","Q","Ribs","",""
"21030-31732","WR","Corey","Corey Coleman","Coleman","7.599999904632568","2","5600","CLE@IND","CLE","IND","IR","Hand","",""
"21030-31871","RB","Charles","Charles Sims","Sims","-0.10000000149011612","1","5500","TB@MIN","TB","MIN","","","",""
"21030-27776","RB","Tevin","Tevin Coleman","Coleman","9.649999618530273","2","5500","ATL@DET","ATL","DET","","","",""
"21030-26094","WR","Brandon","Brandon Coleman","Coleman","9.25","2","5500","NO@CAR","NO","CAR","","","",""
"21030-11779","RB","LeGarrette","LeGarrette Blount","Blount","5.849999904632568","2","5500","NYG@PHI","PHI","NYG","","","",""
"21030-6703","RB","Adrian","Adrian Peterson","Peterson","2.200000047683716","2","5500","NO@CAR","NO","CAR","","","",""
"21030-45631","RB","Jamaal","Jamaal Williams","Williams","1.25","2","5500","CIN@GB","GB","CIN","","","",""
"21030-25290","RB","Giovani","Giovani Bernard","Bernard","6","2","5500","CIN@GB","CIN","GB","","","",""
"21030-6899","RB","Matt","Matt Forte","Forte","7.849999904632568","2","5500","MIA@NYJ","NYJ","MIA","","","",""
"21030-33557","TE","Tyler","Tyler Eifert","Eifert","3.299999952316284","2","5500","CIN@GB","CIN","GB","Q","Knee","",""
"21030-40845","TE","Hunter","Hunter Henry","Henry","11.5","1","5500","KC@LAC","LAC","KC","","","",""
"21030-40126","TE","Austin","Austin Hooper","Hooper","10.75","2","5400","ATL@DET","ATL","DET","","","",""
"21030-45439","WR","Corey","Corey Davis","Davis","5.400000095367432","2","5400","SEA@TEN","TEN","SEA","O","Hamstring","",""
"21030-6535","WR","Kenny","Kenny Britt","Britt","1.25","2","5400","CLE@IND","CLE","IND","","","",""
"21030-28095","RB","Thomas","Thomas Rawls","Rawls","0.4000000059604645","1","5400","SEA@TEN","SEA","TEN","","","",""
"21030-22018","WR","Mohamed","Mohamed Sanu","Sanu","9.350000381469727","2","5400","ATL@DET","ATL","DET","","","",""
"21030-27338","RB","Rex","Rex Burkhead","Burkhead","7.349999904632568","2","5400","HOU@NE","NE","HOU","Q","Ribs","",""
"21030-31561","WR","Donte","Donte Moncrief","Moncrief","4.150000095367432","2","5400","CLE@IND","IND","CLE","","","",""
"21030-14237","TE","Kyle","Kyle Rudolph","Rudolph","8.300000190734863","2","5400","TB@MIN","MIN","TB","","","",""
"21030-29683","WR","Nelson","Nelson Agholor","Agholor","12.5","2","5400","NYG@PHI","PHI","NYG","","","",""
"21030-28694","TE","Jesse","Jesse James","James","11.899999618530273","2","5300","PIT@CHI","PIT","CHI","Q","Ankle","",""
"21030-39859","TE","Jack","Jack Doyle","Doyle","8.5","2","5300","CLE@IND","IND","CLE","","","",""
"21030-14288","WR","Torrey","Torrey Smith","Smith","6.050000190734863","2","5300","NYG@PHI","PHI","NYG","","","",""
"21030-42104","RB","Alvin","Alvin Kamara","Kamara","6.349999904632568","2","5200","NO@CAR","NO","CAR","","","",""
"21030-25813","WR","Phillip","Phillip Dorsett","Dorsett","4.5","2","5200","HOU@NE","NE","HOU","Q","Knee","",""
"21030-7761","TE","Jared","Jared Cook","Cook","6.300000190734863","2","5200","OAK@WAS","OAK","WAS","Q","Shoulder","",""
