Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
358,Josiah Scott (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
359,DeMarkus Acy (SF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
360,A.J. Green (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
361,T.J. Carter (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
362,Levonta Taylor (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,7.0%
363,Stanford Samuels III (GB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
364,Amik Robertson (LV),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.6%
365,Dane Jackson (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
366,Shamarko Thomas (FA),0,0,0.0,0,0,0,0,0,12,0.0,0.0,0.0%
367,Luq Barcoo (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
368,Reggie Robinson II (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
369,Darnay Holmes (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
370,Michael Ojemudia (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%
371,Lavert Hill (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
372,Kindle Vildor (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
373,Josh Nurse (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
374,Debione Renfro (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
375,Khalil Dorsey (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
376,Jameson Houston (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
377,Isaiah Brown (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
378,Stantley Thomas-Oliver III (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%
379,Keith Washington II (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
380,Isiah Swann (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
381,Elijah Riley (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
382,Parnell Motley (TB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
383,Tino Ellis (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
384,L'Jarius Sneed (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
385,Jamar Adams (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
386,Myles Bryant (NE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
387,Javaris Davis (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
388,James Pierre (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
389,Nevelle Clarke (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
390,Javelin Guidry (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.0%
391,Thakarius Keyes (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
392,Chris Williamson (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
393,Noah Igbinoghene (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.3%
394,John Reid (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
395,Trajan Bandy (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
396,Pierson Prioleau (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
397,Eric Smith (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
398,Aaron Francisco (DET),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
399,Marvin White (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
400,Don Carey (FA),0,0,0.0,0,0,0,0,0,13,0.0,0.0,0.0%
401,Cary Harris (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
402,Nick Schommer (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
403,Chris Reis (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
404,Robert Blanton (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
405,Chip Vaughn (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
406,Nick Sorensen (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
407,Tyrone Carter (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
408,DaJuan Morgan (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
409,Colt Anderson (FA),0,0,0.0,0,0,0,0,0,5,0.0,0.0,0.0%
410,Matt Ware (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
411,Dallin Leavitt (LV),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
412,Juan Thornhill (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.9%
413,Taylor Rapp (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,46.4%
414,Johnathan Abram (LV),0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.0%
415,Deionte Thompson (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
416,Ryan Neal (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
417,Joshua Kalu (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
418,Jaquan Johnson (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
419,Nasir Adderley (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.5%
420,Ezekiel Turner (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
421,Saquan Hampton (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
422,Nick Scott (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,15.1%
423,Ugochukwu Amadi (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
424,Chris Johnson (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
425,Mark McLaurin (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%
426,Khari Willis (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,9.9%
427,Tyree Kinnel (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
428,Sheldrick Redwine (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
429,Darnell Savage Jr. (GB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,13.1%
430,Mike Edwards (TB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%
431,Marquise Blair (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.5%
432,Terrell Edmunds (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,31.2%
