Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
181,Dannell Ellerbe (FA),6,2,0.0,0,0,0,0,0,3,17.0,5.7,0.0%
182,Jerrell Freeman (FA),7,3,0.0,0,0,0,0,0,1,16.8,16.8,0.1%
183,Tyler Matakevich (BUF),7,2,0.0,1,0,0,0,0,15,16.5,1.1,0.0%
184,Terrance Smith (FA),5,1,0.0,2,1,0,0,0,15,16.3,1.1,0.0%
185,Vince Biegel (MIA),7,3,0.0,0,0,0,0,0,9,16.1,1.8,4.0%
186,Jelani Jenkins (FA),8,2,0.0,0,0,0,0,0,7,16.1,2.3,0.0%
187,Cornellius Carradine (FA),14,5,1.5,0,0,0,0,0,8,15.9,2.0,0.0%
188,L.J. Fort (BAL),2,0,1.0,4,0,0,0,0,15,15.5,1.0,2.1%
189,Kamu Grugier-Hill (MIA),8,1,0.0,0,0,0,0,0,16,15.3,1.0,0.4%
190,Kamalei Correa (TEN),6,2,0.0,1,0,0,0,0,16,14.6,0.9,0.5%
191,Julian Stanford (FA),6,2,0.0,0,0,0,0,0,16,13.1,0.8,0.0%
192,Joe Walker (SF),4,4,0.0,1,0,0,0,0,12,12.1,1.0,0.5%
193,Blair Brown (FA),7,3,0.5,0,0,0,0,0,13,12.1,0.9,1.0%
194,Lerentee McCray (JAC),1,2,1.5,1,0,0,0,0,13,11.8,0.9,14.0%
195,LaTroy Lewis (FA),3,0,1.0,0,0,0,0,0,2,11.0,5.5,0.0%
196,Ukeme Eligwe (LV),3,0,1.0,0,0,0,0,0,14,11.0,0.8,0.0%
197,Jeremiah Attaochu (DEN),5,1,0.0,0,0,0,0,0,4,10.8,2.7,0.2%
198,Nigel Harris (TEN),7,2,0.0,0,0,0,0,0,8,10.6,1.3,2.0%
199,Trevor Reilly (FA),3,2,0.0,0,0,0,0,0,6,10.1,1.7,0.0%
200,Kevin Dodd (FA),4,3,0.0,0,0,0,0,0,9,9.4,1.0,0.0%
201,Deiontrez Mount (FA),5,1,0.0,0,0,0,0,0,7,9.3,1.3,0.0%
