Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
400,Debione Renfro (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
401,Javaris Davis (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
402,James Pierre (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
403,Nevelle Clarke (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
404,Javelin Guidry (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.0%
405,Thakarius Keyes (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
406,Chris Williamson (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
407,Rafael Bush (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
408,Noah Igbinoghene (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.3%
409,Pierson Prioleau (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
410,Nick Sorensen (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
411,Chris Reis (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
412,Marvin White (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
413,Corey Graham (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
414,DaJuan Morgan (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
415,Eric Smith (NYG),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
416,Reggie Nelson (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
417,Aaron Francisco (DET),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
418,Tyrone Carter (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
419,Nick Schommer (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
420,Don Carey (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
421,Cary Harris (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
422,Eric Berry (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%
423,Victor Harris (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
424,Kareem Moore (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
425,Chris Horton (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
426,Jon Corto (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
427,Jamar Adams (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
428,Matt Ware (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
429,Michael Mitchell (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
430,Glover Quin (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%
431,Chip Vaughn (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
432,DeAngelo Smith (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
433,C.J. Reavis (ATL),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
434,Montrel Meander (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,7.0%
435,Trayvon Henderson (CIN),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
436,Quin Blanding (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
437,Marcus Allen (PIT),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.4%
438,Ahmad Thomas (ATL),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
439,Nasir Adderley (LAC),0,0,0.0,0,0,0,0,0,4,0.0,0.0,2.5%
440,Ryan Neal (SEA),0,0,0.0,0,0,0,0,0,3,0.0,0.0,0.2%
441,Ezekiel Turner (ARI),0,0,0.0,0,0,0,0,0,12,0.0,0.0,0.0%
442,Jonathan Owens (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
443,Terrell Williams (FA),0,0,0.0,0,0,0,0,0,5,0.0,0.0,0.0%
444,Justin Evans (TB),0,0,0.0,0,0,0,0,0,1,0.0,0.0,5.1%
445,Josh Harvey-Clemons (WAS),0,0,0.0,0,0,0,0,0,9,0.0,0.0,0.2%
446,Shalom Luani (HOU),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
447,Obi Melifonwu (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
448,Matthias Farley (NYJ),0,0,0.0,0,0,0,0,0,13,0.0,0.0,0.0%
449,Isaiah Johnson (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
450,Kentrell Brice (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
451,Charles Washington (ARI),0,0,0.0,0,0,0,0,0,12,0.0,0.0,0.2%
452,Dymonte Thomas (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
453,Anthony Cioffi (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
454,Myles Dorn (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
455,Jared Mayden (SF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
456,Brian Cole II (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
457,Josh Metellus (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
458,Jaquarius Landrews (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
459,Harrison Hand (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
